ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-493N|uniprotkb:Q62311	DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-175E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-717N|refseq:NP_005504|uniprotkb:P29083	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-176E	dip-quality-status:core	dip:0002(small scale)		-
DIP-422N|uniprotkb:Q08462	DIP-605N|refseq:NP_032164|uniprotkb:P08752	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9252377|pubmed:DIP-122S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-261E	dip-quality-status:core	dip:0002(small scale)		-
DIP-604N|uniprotkb:P29387	DIP-164N|refseq:NP_112269|uniprotkb:P26769	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7761832|pubmed:DIP-43S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-262E	dip-quality-status:core	dip:0002(small scale)		-
DIP-693N|uniprotkb:P30274	DIP-724N|uniprotkb:Q08639	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:rtd:1830372|pubmed:DIP-249S	taxid:9913(Bos taurus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-278E	dip-quality-status:core	dip:0002(small scale)		-
DIP-657N|uniprotkb:P14753	DIP-907N|refseq:NP_034025|uniprotkb:Q62225	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7796808|pubmed:DIP-455S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-285E	dip-quality-status:core	dip:0002(small scale)		-
DIP-733N|uniprotkb:P42655	DIP-117N|refseq:NP_004283|uniprotkb:Q13671	 -	-	-	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0401(biochemical)	-	pubmed:9144171|pubmed:DIP-154S|pubmed:9144171|pubmed:DIP-154S|pubmed:9144171|pubmed:DIP-154S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-287E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-447N|refseq:NP_032804|uniprotkb:Q61036	DIP-128N|uniprotkb:P60953-2	 -	-	-	-	MI:0013(biophysical)	-	pubmed:9033409|pubmed:DIP-254S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-291E	dip-quality-status:core	dip:0002(small scale)		-
DIP-259N|refseq:NP_032189|uniprotkb:Q60631	DIP-138N|refseq:XP_217250|uniprotkb:P09759	 -	-	-	-	MI:0018(two hybrid)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:8798570|pubmed:DIP-400S|pubmed:8798570|pubmed:DIP-400S|pubmed:8798570|pubmed:DIP-400S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-293E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-446N|refseq:NP_034475|uniprotkb:Q60760	DIP-138N|refseq:XP_217250|uniprotkb:P09759	 -	-	-	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0018(two hybrid)	-	pubmed:8798570|pubmed:DIP-400S|pubmed:8798570|pubmed:DIP-400S|pubmed:8798570|pubmed:DIP-400S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-294E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-829N|uniprotkb:Q03145	DIP-292N|uniprotkb:Q60898	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)	-	pubmed:7543898|pubmed:DIP-319S|pubmed:7543898|pubmed:DIP-319S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-298E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-118N|uniprotkb:P70304	DIP-829N|uniprotkb:Q03145	 -	-	-	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pubmed:7982920|pubmed:DIP-320S|pubmed:7982920|pubmed:DIP-320S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-299E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-468N|uniprotkb:P39429	DIP-285N|refseq:NP_003780|uniprotkb:Q15628	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8565075|pubmed:DIP-181S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-301E	dip-quality-status:core	dip:0002(small scale)		-
DIP-468N|uniprotkb:P39429	DIP-78N|refseq:NP_001057|uniprotkb:P20333	 -	-	-	-	MI:0401(biochemical)|MI:0018(two hybrid)	-	pubmed:8069916|pubmed:DIP-351S|pubmed:8069916|pubmed:DIP-351S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-304E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1031N|refseq:NP_036805|uniprotkb:P01830	DIP-118N|uniprotkb:P70304	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7915927|pubmed:DIP-125S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-310E	dip-quality-status:core	dip:0002(small scale)		-
DIP-468N|uniprotkb:P39429	DIP-468N|uniprotkb:P39429	-	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8702708|pubmed:DIP-282S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-311E	dip-quality-status:core	dip:0002(small scale)		-
DIP-260N|uniprotkb:P39428	DIP-468N|uniprotkb:P39429	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pubmed:8702708|pubmed:DIP-282S|pubmed:8702708|pubmed:DIP-282S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-312E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-468N|uniprotkb:P39429	DIP-433N|refseq:NP_003795|uniprotkb:Q13546	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pubmed:8702708|pubmed:DIP-282S|pubmed:8702708|pubmed:DIP-282S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-313E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-51N|uniprotkb:P09086	DIP-899N|refseq:NP_032278|uniprotkb:P30681	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0045(experimental interaction detection)|MI:0018(two hybrid)	-	pubmed:7720710|pubmed:DIP-469S|pubmed:7720710|pubmed:DIP-469S|pubmed:7720710|pubmed:DIP-469S|pubmed:7720710|pubmed:DIP-469S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-323E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-899N|refseq:NP_032278|uniprotkb:P30681	DIP-226N|uniprotkb:P14859	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7720710|pubmed:DIP-469S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-324E	dip-quality-status:core	dip:0002(small scale)		-
DIP-899N|refseq:NP_032278|uniprotkb:P30681	DIP-277N|refseq:NP_002690|uniprotkb:Q03052	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7720710|pubmed:DIP-469S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-325E	dip-quality-status:core	dip:0002(small scale)		-
DIP-328N	DIP-273N|refseq:NP_031548|uniprotkb:Q61337	 -	-	-	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:9324938|pubmed:DIP-437S|pubmed:9324938|pubmed:DIP-437S|pubmed:9324938|pubmed:DIP-437S|pubmed:17941720|pubmed:DIP-4613S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-403E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-348N|refseq:NP_032138|uniprotkb:Q61598	DIP-120N|refseq:NP_077249|uniprotkb:P35279	 -	-	-	-	MI:0401(biochemical)|MI:0018(two hybrid)|MI:0045(experimental interaction detection)	-	pubmed:7782346|pubmed:DIP-197S|pubmed:7782346|pubmed:DIP-197S|pubmed:7782346|pubmed:DIP-197S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-405E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-348N|refseq:NP_032138|uniprotkb:Q61598	DIP-380N|refseq:NP_004153|uniprotkb:P20339	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7782346|pubmed:DIP-197S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-406E	dip-quality-status:core	dip:0002(small scale)		-
DIP-348N|refseq:NP_032138|uniprotkb:Q61598	DIP-1063N|refseq:NP_004152|uniprotkb:P62820	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7782346|pubmed:DIP-197S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-407E	dip-quality-status:core	dip:0002(small scale)		-
DIP-348N|refseq:NP_032138|uniprotkb:Q61598	DIP-316N|uniprotkb:P61019	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7782346|pubmed:DIP-197S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-408E	dip-quality-status:core	dip:0002(small scale)		-
DIP-348N|refseq:NP_032138|uniprotkb:Q61598	DIP-372N|uniprotkb:P20338	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7782346|pubmed:DIP-197S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-409E	dip-quality-status:core	dip:0002(small scale)		-
DIP-287N|uniprotkb:Q6PAL8	DIP-120N|refseq:NP_077249|uniprotkb:P35279	 -	-	-	-	MI:0018(two hybrid)|MI:0401(biochemical)	-	pubmed:7782346|pubmed:DIP-197S|pubmed:7782346|pubmed:DIP-197S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-410E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-334N|uniprotkb:Q62145	DIP-380N|refseq:NP_004153|uniprotkb:P20339	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7782346|pubmed:DIP-197S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-412E	dip-quality-status:core	dip:0002(small scale)		-
DIP-283N|refseq:NP_032863|uniprotkb:Q62083	DIP-532N|uniprotkb:P20444	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7844141|pubmed:DIP-399S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-428E	dip-quality-status:core	dip:0002(small scale)		-
DIP-37N|refseq:NP_034996|uniprotkb:P10085	DIP-74N|uniprotkb:P15923	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8383120|pubmed:DIP-398S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-439E	dip-quality-status:core	dip:0002(small scale)		-
DIP-74N|uniprotkb:P15923	DIP-167N|refseq:NP_034626|uniprotkb:P41136	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8383120|pubmed:DIP-398S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-440E	dip-quality-status:core	dip:0002(small scale)		-
DIP-455N|refseq:NP_032239|uniprotkb:Q64279	DIP-50N|refseq:NP_477189|uniprotkb:P11420	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7791788|pubmed:DIP-173S	taxid:10090(Mus musculus)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-449E	dip-quality-status:core	dip:0002(small scale)		-
DIP-467N|refseq:NP_032953|uniprotkb:P31938	DIP-1045N|refseq:NP_004324|uniprotkb:P15056	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8668348|pubmed:DIP-323S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-466E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1048N|refseq:NP_002871|uniprotkb:P04049	DIP-369N|refseq:NP_035770|uniprotkb:P02340	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7784054|pubmed:DIP-195S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-480E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24227N|refseq:NP_005216|uniprotkb:Q01094	DIP-724N|uniprotkb:Q08639	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:8405995|pubmed:DIP-165S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-493E	dip-quality-status:core	dip:0002(small scale)		-
DIP-280N|uniprotkb:P53762	DIP-222N|uniprotkb:P30561	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7488247|pubmed:DIP-444S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-340E	dip-quality-status:core	dip:0002(small scale)		-
DIP-334N|uniprotkb:Q62145	DIP-120N|refseq:NP_077249|uniprotkb:P35279	 -	-	-	-	MI:0401(biochemical)|MI:0018(two hybrid)	-	pubmed:7782346|pubmed:DIP-197S|pubmed:7782346|pubmed:DIP-197S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-411E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-454N|uniprotkb:Q63932	DIP-1045N|refseq:NP_004324|uniprotkb:P15056	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8668348|pubmed:DIP-323S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-467E	dip-quality-status:core	dip:0002(small scale)		-
DIP-677N|refseq:NP_002087|uniprotkb:P35269	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-177E	dip-quality-status:core	dip:0002(small scale)		-
DIP-143N|uniprotkb:P26954	DIP-907N|refseq:NP_034025|uniprotkb:Q62225	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7796808|pubmed:DIP-455S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-284E	dip-quality-status:core	dip:0002(small scale)		-
DIP-582N|refseq:NP_000312|uniprotkb:P06400	DIP-724N|uniprotkb:Q08639	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0412(electrophoretic mobility supershift assay)	-	pubmed:rtd:1830372|pubmed:DIP-249S|pubmed:1830372|pubmed:DIP-17387S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-277E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)		-
DIP-109N|uniprotkb:P15924	DIP-188N|uniprotkb:P20152	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9261168|pubmed:DIP-205S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-525E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1048N|refseq:NP_002871|uniprotkb:P04049	DIP-320N|uniprotkb:Q62120	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8876196|pubmed:DIP-441S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-600E	dip-quality-status:core	dip:0002(small scale)		-
DIP-188N|uniprotkb:P20152	DIP-188N|uniprotkb:P20152	-	-	-	-	MI:0018(two hybrid)	-	pubmed:8576158|pubmed:DIP-206S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-533E	dip-quality-status:core	dip:0002(small scale)		-
DIP-198N|refseq:NP_032080|uniprotkb:P39688	DIP-1019N|uniprotkb:Q03137	 -	-	-	-	MI:0401(biochemical)|MI:0107(surface plasmon resonance)	-	pubmed:8622893|pubmed:DIP-100S|pubmed:8622893|pubmed:DIP-100S	taxid:10090(Mus musculus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-797E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1074N|uniprotkb:Q9DH70	DIP-369N|refseq:NP_035770|uniprotkb:P02340	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9043710|pubmed:DIP-269S	taxid:10633(Simian virus 40)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-522E	dip-quality-status:core	dip:0002(small scale)		-
DIP-256N|refseq:NP_034173|uniprotkb:P31001	DIP-109N|uniprotkb:P15924	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9261168|pubmed:DIP-205S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-526E	dip-quality-status:core	dip:0002(small scale)		-
