ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-24569N|refseq:NP_741617	DIP-26997N|refseq:NP_509325|uniprotkb:Q18838	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40369E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-26126N	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40370E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26829N|refseq:NP_506577|uniprotkb:Q19750	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40372E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-27268N|refseq:NP_509922|uniprotkb:Q93637	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40373E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-24907N|refseq:NP_500797|uniprotkb:Q20303	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40375E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-24643N|refseq:NP_510454|uniprotkb:Q93703	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40376E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-27422N|refseq:NP_498166|uniprotkb:Q09566	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40377E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26844N|refseq:NP_509474|uniprotkb:Q20690	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40378E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-25911N|refseq:NP_509473|uniprotkb:Q20689	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40379E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25424N|refseq:NP_494220|uniprotkb:Q9N4J6	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40380E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27051N|refseq:NP_510278|uniprotkb:Q20742	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40381E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27010N|refseq:NP_499983|uniprotkb:Q9BKP1	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40382E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24728N|refseq:NP_505513|uniprotkb:Q20979	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40383E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27016N|refseq:NP_505116	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40384E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25582N|refseq:NP_502409|uniprotkb:Q21344	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40385E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24935N|refseq:NP_505817|uniprotkb:P10983	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40389E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24494N|refseq:NP_509829|uniprotkb:Q22631	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40390E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26777N|refseq:NP_499893|uniprotkb:O16783	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40391E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-27185N|refseq:NP_497207|uniprotkb:Q22685	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40392E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-25429N|refseq:NP_492976|uniprotkb:O45799	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40393E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-27200N|refseq:NP_499936|uniprotkb:Q9UAY0	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40394E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40395E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27115N|refseq:NP_502737|uniprotkb:Q9TVQ2	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40396E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24569N|refseq:NP_741617	DIP-26908N|refseq:NP_507646|uniprotkb:Q9U1U0	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40397E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25005N|refseq:NP_507643|uniprotkb:Q9U1T6	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40398E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27385N|refseq:NP_495966|uniprotkb:Q23390	DIP-24569N|refseq:NP_741617	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40400E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26242N|refseq:NP_494487|uniprotkb:Q9BKP8	DIP-27301N|refseq:NP_495189|uniprotkb:Q9BIB5	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40402E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	DIP-27301N|refseq:NP_495189|uniprotkb:Q9BIB5	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40403E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24486N|refseq:NP_502126|uniprotkb:Q17433	DIP-25114N|refseq:NP_492600|uniprotkb:O18688	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40404E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24486N|refseq:NP_502126|uniprotkb:Q17433	DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40405E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25477N|refseq:NP_491714|uniprotkb:O01427	DIP-25016N|refseq:NP_509046|uniprotkb:Q17993	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40407E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25926N|refseq:NP_490956|uniprotkb:Q9GSQ0	DIP-25477N|refseq:NP_491714|uniprotkb:O01427	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40410E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26100N|refseq:NP_500841|uniprotkb:P91001	DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40412E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27492N|refseq:NP_506184|uniprotkb:Q18018	DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40413E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27097N|refseq:NP_500005|uniprotkb:Q9TZ16	DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40415E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-25877N|refseq:NP_492204|uniprotkb:Q18846	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40416E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-24944N|refseq:NP_495467|uniprotkb:Q19300	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40417E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27268N|refseq:NP_509922|uniprotkb:Q93637	DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40418E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-25524N|refseq:NP_501775|uniprotkb:O45436	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40419E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25054N|refseq:NP_496469|uniprotkb:Q20772	DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40421E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-26904N|refseq:NP_497703|uniprotkb:Q21021	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40422E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-26521N|refseq:NP_498563|uniprotkb:O18158	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40423E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-25971N|uniprotkb:Q21431	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40424E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-24935N|refseq:NP_505817|uniprotkb:P10983	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40426E	dip-quality-status:	dip:0005(high throughput)		-
DIP-24841N|refseq:NP_505800|uniprotkb:P54412	DIP-26036N|refseq:NP_509586|uniprotkb:P41941	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40438E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25384N|refseq:NP_503729|uniprotkb:O61899	DIP-24528N|refseq:NP_498235|uniprotkb:Q10943	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40448E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27083N|refseq:NP_509562|uniprotkb:Q11073	DIP-24378N|refseq:NP_493624|uniprotkb:O62190	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40452E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-25891N|refseq:NP_502280|uniprotkb:Q22436	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40428E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25384N|refseq:NP_503729|uniprotkb:O61899	DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40429E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-26557N|refseq:NP_496736|uniprotkb:Q9U2D9	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40430E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	DIP-25552N|refseq:NP_507526|uniprotkb:Q9GRZ1	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40431E	dip-quality-status:	dip:0005(high throughput)		-
DIP-25583N|refseq:NP_499592|uniprotkb:Q9XW83	DIP-26892N|refseq:NP_501365|uniprotkb:Q17446	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40432E	dip-quality-status:	dip:0005(high throughput)		-
DIP-26846N|refseq:NP_491416|uniprotkb:O02056	DIP-24509N|refseq:NP_504409|uniprotkb:O16488	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40433E	dip-quality-status:	dip:0005(high throughput)		-
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	DIP-24509N|refseq:NP_504409|uniprotkb:O16488	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40434E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
